,del,delfreq,indel,indelfreq,invL,invLfreq,invR,invRfreq,missingfreq,total,total_mutation_and_wt_count,unchanged,unchangedfreq
p1,1873.0,0.04376515891449321,15795.0,0.36907137482884156,2548.0,0.059537439890084726,3014.0,0.07042615534878939,0.09090909090909091,42796.6,38906.0,15676.0,0.36629078010870025
p2,4939.0,0.211062362895644,3302.0,0.14110709096606935,1234.0,0.05273354035497565,1877.0,0.08021138998888921,0.3181818181818182,23400.666666666664,15955.0,4603.0,0.19670379761260365
p3,2.0,8.976902430047488e-05,6042.0,0.27119222241173463,602.0,0.027020476314442942,471.0,0.021140605222761837,0.5454545454545454,22279.399999999998,10127.0,3010.0,0.1351023815722147
p4,979.0,0.06740381702514389,1723.0,0.11862796397785795,1.0,6.884965988268019e-05,2.0,0.00013769931976536037,0.09090909090909091,14524.4,13204.0,10499.0,0.7228525791082592
p5,6660.0,0.224720996735472,1196.0,0.040355302116460136,0.0,0.0,0.0,0.0,0.6363636363636364,29636.75,10777.0,2921.0,0.0985600647844315
p6,3.0,0.00023250406882120435,1387.0,0.10749438115167013,0.0,0.0,2.0,0.00015500271254746955,0.7272727272727273,12903.000000000002,3519.0,2127.0,0.16484538479423388
p7,0.0,0.0,6579.0,0.29649718147226056,0.0,0.0,0.0,0.0,0.1590909090909091,22189.08108108108,18659.0,12080.0,0.5444119094368304
